#Duplication rate	Coverage
1.0	11144.0
2.0	1537.0
3.0	666.0
4.0	402.0
5.0	323.0
6.0	250.0
7.0	207.0
8.0	190.0
9.0	147.0
10.0	136.0
11.0	141.0
12.0	97.0
13.0	120.0
14.0	106.0
15.0	100.0
16.0	71.0
17.0	74.0
18.0	62.0
19.0	57.0
20.0	49.0
21.0	57.0
22.0	54.0
23.0	53.0
24.0	43.0
25.0	49.0
26.0	28.0
27.0	43.0
28.0	34.0
29.0	38.0
30.0	24.0
31.0	29.0
32.0	24.0
33.0	18.0
34.0	25.0
35.0	21.0
36.0	21.0
37.0	19.0
38.0	23.0
39.0	23.0
40.0	16.0
41.0	8.0
42.0	16.0
43.0	12.0
44.0	12.0
45.0	14.0
46.0	8.0
47.0	10.0
48.0	9.0
49.0	18.0
50.0	278.0
